model,phenomenon,layer,n,adj_r2_cos,adj_r2_cos_frob,delta_adj_r2,beta_z_frob,p_z_frob,p_z_frob_q
gpt2,negation,1,100,0.0246322510724272,0.0362469880240862,0.0116147369516589,-2.483909451993645,0.1429580642289949,0.8761436620020968
gpt2,attachment,1,100,-0.0225894929683925,-0.0115395135908271,0.0110499793775653,11.98080563471807,0.1556181374329801,0.8761436620020968
roberta-base,attachment,12,100,-0.0224464856337469,-0.0139285135678195,0.0085179720659274,2.4218859696337693,0.1821306605314133,0.8761436620020968
roberta-base,negation,7,100,-0.0094278298341126,-0.0016663261345177,0.0077615036995948,2.5760202582560146,0.1878186391473732,0.8761436620020968
roberta-base,role_reversal,3,100,0.0260065061628033,0.0337092797484781,0.0077027735856748,1.5216493292765934,0.1851256918139973,0.8761436620020968
roberta-base,role_reversal,10,100,-0.0023204574513819,0.0050341492396479,0.0073546066910299,-2.40601478657832,0.1922258596141663,0.8761436620020968
bert-base-uncased,role_reversal,9,100,0.0101211611169452,0.0172525169688041,0.0071313558518588,-0.506636460879745,0.1939287135158343,0.8761436620020968
gpt2,role_reversal,1,100,0.0181023518698172,0.0244585828171429,0.0063562309473257,1.6065688298769074,0.2035803797092816,0.8761436620020968
bert-base-uncased,role_reversal,7,100,-0.0028084882683403,0.0035441237919916,0.0063526120603319,-0.4794278100408611,0.2054729338898876,0.8761436620020968
bert-base-uncased,negation,5,100,0.0009502868584603,0.006571163911912,0.0056208770534517,0.6201450613184867,0.2154761567311137,0.8761436620020968
roberta-base,negation,2,100,-0.0100480852910611,-0.0049883539541359,0.0050597313369251,1.0784661815660446,0.2246522210261786,0.8761436620020968
roberta-base,role_reversal,1,100,0.0356234721903041,0.0405472732423093,0.0049238010520051,0.3983057131900399,0.2231898840858456,0.8761436620020968
bert-base-uncased,negation,10,100,-0.0074153249188668,-0.0030801280954517,0.004335196823415,-1.2551094581513662,0.2357310123412394,0.8878473462250939
roberta-base,attachment,6,100,-0.0214413921048968,-0.0181177321341678,0.0033236599707289,6.229769794822188,0.2546597635902622,0.8878473462250939
bert-base-uncased,negation,12,100,-0.0064120560278555,-0.004066047843632,0.0023460081842234,-0.7156858953707407,0.2703470616192792,0.8878473462250939
bert-base-uncased,attachment,2,100,-0.0225662457488509,-0.0203764590180615,0.0021897867307894,-1.2679881502687196,0.2748970489732775,0.8878473462250939
roberta-base,negation,0,100,-0.0001351749087781,0.0019784991064449,0.0021136740152231,0.4768103014984055,0.2745377669332415,0.8878473462250939
roberta-base,negation,6,100,-0.0097530816906568,-0.0078629877344644,0.0018900939561923,2.085856576151574,0.279282976841075,0.8878473462250939
roberta-base,attachment,7,100,-0.0212731670572345,-0.0197598837655992,0.0015132832916353,5.3787758477220855,0.2878414906704487,0.8878473462250939
bert-base-uncased,attachment,11,100,-0.0162826954984367,-0.0153381220850865,0.0009445734133501,-1.105145610500088,0.299272920914395,0.8878473462250939
bert-base-uncased,role_reversal,3,100,0.0021508471267163,0.0027498610786584,0.0005990139519421,-0.2856334025098687,0.3060332198516927,0.8878473462250939
gpt2,attachment,0,100,-0.0219463769588137,-0.0219463769588135,2.220446049250313e-16,-0.3610377862285978,0.8072216535650599,1.0
