pair_id,phenomenon,model,total_surprisal_s,total_surprisal_cf,avg_surprisal_s,avg_surprisal_cf,delta_total_surprisal,delta_avg_surprisal,abs_delta_avg_surprisal,key_region_surprisal_s,key_region_surprisal_cf,delta_key_region_surprisal,key_region_count_s,key_region_count_cf
neg_000057,negation,gpt2,35.43018341064453,37.153419494628906,7.086036682128906,5.307631492614746,1.723236083984375,-1.7784051895141602,1.7784051895141602,8.548954963684082,9.383561462163925,0.8346064984798431,1,2
neg_000058,negation,gpt2,34.932373046875,32.849754333496094,4.9903388023376465,6.569951057434082,-2.0826187133789062,1.5796122550964355,1.5796122550964355,7.649268269538879,8.610879898071289,0.9616116285324097,2,1
neg_000059,negation,gpt2,37.85304260253906,38.86748123168945,7.570608615875244,5.552497386932373,1.0144386291503906,-2.018111228942871,2.018111228942871,10.251504898071289,8.670945048332214,-1.5805598497390747,1,2
neg_000060,negation,gpt2,39.68510818481445,35.14556884765625,5.6693010330200195,7.02911376953125,-4.539539337158203,1.3598127365112305,1.3598127365112305,11.40963351726532,11.517736434936523,0.10810291767120361,2,1
neg_000061,negation,gpt2,32.83518600463867,36.80929946899414,6.567037105560303,5.258471488952637,3.9741134643554688,-1.308565616607666,1.308565616607666,11.628063201904297,11.25552886724472,-0.3725343346595764,1,2
neg_000062,negation,gpt2,38.570945739746094,34.51757049560547,5.510135173797607,6.9035139083862305,-4.053375244140625,1.393378734588623,1.393378734588623,11.40963351726532,11.517736434936523,0.10810291767120361,2,1
neg_000063,negation,gpt2,33.91850662231445,34.473148345947266,6.783701419830322,4.9247355461120605,0.5546417236328125,-1.8589658737182617,1.8589658737182617,9.122797012329102,7.345637649297714,-1.7771593630313873,1,2
neg_000064,negation,gpt2,39.267173767089844,35.320465087890625,5.609596252441406,7.064093112945557,-3.9467086791992188,1.4544968605041504,1.4544968605041504,10.870608389377594,11.227850914001465,0.35724252462387085,2,1
neg_000065,negation,gpt2,31.338237762451172,33.52354431152344,6.267647743225098,4.7890777587890625,2.1853065490722656,-1.4785699844360352,1.4785699844360352,9.365227699279785,8.15860402584076,-1.2066236734390259,1,2
neg_000066,negation,gpt2,38.41582489013672,36.40678024291992,5.487975120544434,7.281355857849121,-2.009044647216797,1.7933807373046875,1.7933807373046875,10.577042907476425,11.087930679321289,0.5108877718448639,2,1
