model,phenomenon,layer,metric,n,spearman_rho,spearman_p,spearman_ci_lo,spearman_ci_hi,pearson_r,pearson_p,pearson_ci_lo,pearson_ci_hi,spearman_q,pearson_q
google/gemma-3-4b-it,negation,2,delta_l2,1500,0.09118822966796386,0.0004060347714101288,0.039159192694914365,0.13080076325003573,0.1354670744562748,1.3902098952299398e-07,0.07193702363341371,0.17932564658424405,0.0007150297861310444,3.017509850111497e-07
google/gemma-3-4b-it,negation,2,delta_token_aligned,1500,-0.09381040084672315,0.00027448844932103885,-0.13695797503635757,-0.04279248252996251,-0.10890258679025414,2.3699653012337568e-05,-0.14081037404186864,-0.0691470497353219,0.0005023318026790254,4.365725554904289e-05
google/gemma-3-4b-it,negation,3,delta_cos,1500,0.10038177775624217,9.845491515604458e-05,0.04365400392954316,0.1418364054337158,0.16302568904387224,2.1360269108685497e-10,0.0918445429530803,0.20624955895910047,0.00019832644779634877,5.340067277171373e-10
google/gemma-3-4b-it,negation,3,delta_frob,1500,0.13079713208379037,3.7077637791015906e-07,0.07774437298011597,0.1764161706071747,0.1991423999165643,7.003554234430589e-15,0.12693085101328216,0.242272768263731,9.702559421948088e-07,2.420981710667364e-14
google/gemma-3-4b-it,negation,3,delta_l2,1500,0.09275936134997573,0.0003215156686568714,0.043360852038375156,0.13271409728439276,0.14285816302859167,2.7479057502041344e-08,0.07796750847680133,0.18508773964837388,0.000577079405281564,6.204948468202884e-08
google/gemma-3-4b-it,negation,3,delta_token_aligned,1500,-0.1179901256469792,4.606786918176036e-06,-0.1609909340318017,-0.07391984060023558,-0.1170215423811741,5.517919339463633e-06,-0.15210343952059793,-0.07134153120693897,1.1216524670341653e-05,1.095757031950225e-05
google/gemma-3-4b-it,negation,4,delta_cos,1500,0.11752570456253221,5.02406570272624e-06,0.062280895605389894,0.16122174895977912,0.17040944159923882,3.072104660101043e-11,0.10569684539710335,0.2101197331451236,1.2127055144511615e-05,8.039152381572822e-11
google/gemma-3-4b-it,negation,4,delta_frob,1500,0.14523313997002663,1.603103380671465e-08,0.09286138631545565,0.1866816985749211,0.20027857508767336,4.88847140900881e-15,0.13150283612234348,0.23922378421456708,4.27494234845724e-08,1.7109649931530833e-14
google/gemma-3-4b-it,negation,4,delta_l2,1500,0.09176115868650433,0.00037306229244967007,0.04461508748327508,0.1370675096914719,0.13586721021037723,1.2761458421718745e-07,0.07126706449162652,0.18055826436956687,0.0006653340247510039,2.7915690297509756e-07
google/gemma-3-4b-it,negation,4,delta_token_aligned,1500,-0.08162550563162321,0.0015562345666284795,-0.12705312130782903,-0.030743326836956932,-0.10638906362155917,3.6479143737512785e-05,-0.1502252488647802,-0.05355247853455016,0.002394207025582276,6.579675661993803e-05
google/gemma-3-4b-it,negation,5,delta_cos,1500,0.10174410013420004,7.897330385366436e-05,0.04754148991151517,0.1473556022796239,0.15843103414831192,6.833385662942129e-10,0.09090130204312655,0.2033631619019472,0.00016259209616930898,1.6494379186412037e-09
google/gemma-3-4b-it,negation,5,delta_frob,1500,0.09404499563554779,0.0002649107256927284,0.04222626966801475,0.1404965329348023,0.14994585535687596,5.3610985999256315e-09,0.08486313891997231,0.19669702382200774,0.0005011824540132699,1.2509230066493139e-08
google/gemma-3-4b-it,negation,5,delta_l2,1500,-0.007087813489446203,0.7838660449535211,-0.06561711276906657,0.0443248856427782,0.0527019370055543,0.041265342553254016,-0.014068598097287638,0.10554863683202832,0.7952264224166156,0.0467785259713001
google/gemma-3-4b-it,negation,5,delta_token_aligned,1500,-0.07353061899029668,0.004381386168581197,-0.12137157027292914,-0.021333690198419044,-0.09872147627749077,0.00012833246539080558,-0.14286345061161881,-0.04761059386032637,0.006423215854195458,0.00022180919944089853
google/gemma-3-4b-it,negation,6,delta_cos,1500,0.09699561654612716,0.0001683131689112021,0.043259120324694644,0.14032393434881943,0.1621122126837215,2.698804519313612e-10,0.09642368703318768,0.20219459887087896,0.0003295642468191369,6.687303233697446e-10
google/gemma-3-4b-it,negation,6,delta_frob,1500,0.09573024663154957,0.0002047716843198886,0.03891119744727105,0.14089015838842026,0.15354766740897435,2.2673060731185335e-09,0.08479959078342961,0.19278136615893987,0.00039542118351426766,5.380048309094825e-09
google/gemma-3-4b-it,negation,6,delta_l2,1500,0.1297475302178315,4.6011809738273004e-07,0.0730687415123776,0.17573543623186894,0.17151889692818229,2.278346153572546e-11,0.10480401864295796,0.224274166284613,1.192898770992263e-06,6.018272858493518e-11
google/gemma-3-4b-it,negation,6,delta_token_aligned,1500,-0.08309370917753592,0.0012770213844238345,-0.1250330604164303,-0.028306296079657102,-0.09591460254674943,0.00019903394051100145,-0.14634613738785493,-0.04039851481137359,0.002020146822817365,0.0003317232341850024
google/gemma-3-4b-it,negation,7,delta_cos,1500,0.08198217562241852,0.0014836663224820365,0.02900057249206553,0.12892617242829724,0.1415371774829935,3.694296138726333e-08,0.07931978133027748,0.1824281898073163,0.0022951744215191725,8.275223350746986e-08
google/gemma-3-4b-it,negation,7,delta_frob,1500,0.09381231966634607,0.00027440881178023084,0.03461352797651904,0.14025791063373708,0.1482893829372422,7.909995551708534e-09,0.08197264632632631,0.1873272004674802,0.0005023318026790254,1.830412193783793e-08
google/gemma-3-4b-it,negation,7,delta_l2,1500,0.054265483138636696,0.03559801476767785,-0.0014589444759235952,0.10829311857123809,0.11419836985010975,9.262598681348196e-06,0.04725880533652601,0.16528906884235503,0.04614557469884165,1.7643045107329896e-05
google/gemma-3-4b-it,negation,7,delta_token_aligned,1500,-0.03569560849065693,0.1670414722256489,-0.07797472336379584,0.015160573770703005,-0.08037820409510879,0.001836451316520579,-0.13362677516970253,-0.021811570228610733,0.19651937908899872,0.002558240639929165
google/gemma-3-4b-it,negation,8,delta_cos,1500,0.051283075284395276,0.04705154632328533,-0.0052385620147862464,0.09863225276024236,0.12603849388636212,9.73503650923008e-07,0.06374470762523465,0.16773851489066685,0.05961281887113073,2.0494813703642276e-06
google/gemma-3-4b-it,negation,8,delta_frob,1500,0.06030191698118574,0.019508869772722242,-0.002632639846629534,0.1084502314574582,0.1206200281385976,2.8021564262653163e-06,0.05508416510115469,0.16443292533253856,0.02576643177529353,5.685534777929627e-06
google/gemma-3-4b-it,negation,8,delta_l2,1500,0.02657328813029001,0.3037134403286939,-0.025258348462581095,0.0729438070472725,0.04075555738223954,0.1146125737505902,-0.005902719241367994,0.08395539802265621,0.3442905396438635,0.11974448003793006
google/gemma-3-4b-it,negation,8,delta_token_aligned,1500,-0.08843054179168505,0.0006063367289590938,-0.13589077659816376,-0.04335792544826813,-0.09250951477785059,0.0003337529631112507,-0.13266455803269148,-0.04689068336903988,0.0010544986590592935,0.0005163029263599458
google/gemma-3-4b-it,negation,9,delta_cos,1500,0.10809632477717075,2.7243763027643324e-05,0.05463073257521534,0.15152853420246945,0.1722604952661257,1.863661701647551e-11,0.11127972490559922,0.22061503156616852,6.006498935228449e-05,4.969764537726802e-11
google/gemma-3-4b-it,negation,9,delta_frob,1500,0.062176892758920466,0.016021576533185165,0.0013773196586749443,0.1011566145113352,0.09423061598834269,0.00025755522978516303,0.03148095268657967,0.13585717123566535,0.021567506871595418,0.00040838573878759316
google/gemma-3-4b-it,negation,9,delta_l2,1500,0.063054434322937,0.014586633303889759,0.012025433451017389,0.11246945944384155,0.061731128262817646,0.01679688632501262,0.007131809627015813,0.11429982908170037,0.01982649186936472,0.020272104185360063
google/gemma-3-4b-it,negation,9,delta_token_aligned,1500,-0.08218648872309167,0.00144351303967807,-0.1300779872742759,-0.034894554387838096,-0.044701636523041155,0.0835037168251502,-0.0936027123988379,-0.03128487564424444,0.002245464728388109,0.0890684488799769
google/gemma-3-4b-it,negation,10,delta_cos,1500,0.12961311521912394,4.7295882984615575e-07,0.07634485777313954,0.17841868918731213,0.19055052643825243,9.907745824654127e-14,0.13439623306133533,0.24088766683438012,1.2149401133662718e-06,3.117043630228265e-13
google/gemma-3-4b-it,negation,10,delta_frob,1500,0.08231104410852287,0.0014195278576654535,0.026040125495795697,0.1238126416542165,0.12215803151934934,2.0850980549844095e-06,0.06704944645571927,0.16402935735105983,0.0022204905036107654,4.292848936732608e-06
