model,phenomenon,layer,metric,spearman_ci_lo,spearman_ci_hi,pearson_ci_lo,pearson_ci_hi
google/gemma-3-4b-it,negation,13,delta_frob,-0.016392746418631275,0.0821927086937069,0.03255260493111964,0.13370535165660277
google/gemma-3-4b-it,negation,13,delta_l2,0.003581060527846328,0.09413418653879665,0.017114746676498885,0.12703748344754429
google/gemma-3-4b-it,negation,13,delta_token_aligned,-0.12980882648243847,-0.03854111627497221,-0.08849915528653962,-0.03180263435404614
google/gemma-3-4b-it,negation,14,delta_cos,-0.028662420471909894,0.07309095351379023,0.04894187335095355,0.15858522813240108
google/gemma-3-4b-it,negation,14,delta_frob,0.02422538628686356,0.11621138653213628,0.03388338436149083,0.13790476443786162
google/gemma-3-4b-it,negation,14,delta_l2,0.013331946651885834,0.1270857804024494,0.04449197873135086,0.1657839322037207
google/gemma-3-4b-it,negation,14,delta_token_aligned,-0.11785525615009658,-0.021946280539583096,-0.08011762594109902,-0.03080584917296533
google/gemma-3-4b-it,negation,15,delta_cos,-0.04723284777035979,0.04761933679260102,0.03323568896977899,0.14202587619943605
google/gemma-3-4b-it,negation,15,delta_frob,-0.02281571520845497,0.07320790050746484,0.01688026897686723,0.12329236222028724
google/gemma-3-4b-it,negation,15,delta_l2,0.039461566615012246,0.1455207028298867,0.05481838944703392,0.16843969050730617
google/gemma-3-4b-it,negation,15,delta_token_aligned,-0.13257318068177354,-0.035874290174287615,-0.08388976516799643,-0.03093493109549289
google/gemma-3-4b-it,negation,16,delta_cos,-0.060568210333706574,0.029477942606790833,0.03262773017168502,0.14022115184205497
google/gemma-3-4b-it,negation,16,delta_frob,-0.06909198520081147,0.025189041491031242,0.011636839580610948,0.11573996861340924
google/gemma-3-4b-it,negation,16,delta_l2,0.01197736749554005,0.11945505606137534,0.02261684767207423,0.13889681650711755
google/gemma-3-4b-it,negation,16,delta_token_aligned,-0.14708254149123365,-0.052698620953595225,-0.08738758948246989,-0.03140360817238938
google/gemma-3-4b-it,negation,17,delta_cos,-0.07214718831776727,0.02070820288703871,0.022715391753171794,0.12934349228179945
google/gemma-3-4b-it,negation,17,delta_frob,-0.07809415698006328,0.01734774656185992,0.0008699507927230417,0.1084329495312746
google/gemma-3-4b-it,negation,17,delta_l2,-0.015167563195529487,0.0870977594493765,0.01915638749949124,0.1264215234742043
google/gemma-3-4b-it,negation,17,delta_token_aligned,-0.15318628863101294,-0.05402145811989913,-0.09535214271783098,-0.031830786976860065
google/gemma-3-4b-it,negation,18,delta_cos,-0.10268937315340898,-0.007645659299619866,-0.00583471505285442,0.10758550104916906
google/gemma-3-4b-it,negation,18,delta_frob,-0.11528997387853893,-0.01809574169038515,-0.030784141229211748,0.08411537384375734
google/gemma-3-4b-it,negation,18,delta_l2,0.016460111819866882,0.11154679838166683,0.056536979699287025,0.16001749831597784
google/gemma-3-4b-it,negation,18,delta_token_aligned,-0.15328143541502864,-0.05345843618452715,-0.1058149867875852,-0.03272239591683111
google/gemma-3-4b-it,negation,19,delta_cos,-0.11622634115218898,-0.018264025673466664,-0.024762404828570214,0.09325419514570338
