phenomenon,model,layer,control,spearman,p
negation,roberta-base,11,abs_length_delta,0.01932387962690801,0.4545466872956419
negation,roberta-base,12,abs_length_delta,0.003797268922318168,0.8831750226066899
negation,roberta-base,0,edit_distance,0.16948653616031048,3.933423018707542e-11
negation,roberta-base,1,edit_distance,0.18352762127867317,7.893487203234186e-13
negation,roberta-base,2,edit_distance,0.1599520084477771,4.667287688612388e-10
negation,roberta-base,3,edit_distance,0.11780725033150712,4.766978993141161e-06
negation,roberta-base,4,edit_distance,0.12321658954244262,1.6977489540857172e-06
negation,roberta-base,5,edit_distance,0.10379086433071819,5.6413155473166605e-05
negation,roberta-base,6,edit_distance,0.07184806219939519,0.005370261814310566
negation,roberta-base,7,edit_distance,0.07314852885522417,0.004590229592326016
negation,roberta-base,8,edit_distance,0.04000054054633613,0.12149173174648184
negation,roberta-base,9,edit_distance,0.057381512987485506,0.0262593262569662
negation,roberta-base,10,edit_distance,0.03306066966381847,0.2006448213271775
negation,roberta-base,11,edit_distance,0.09801057343161025,0.00014357601358123571
negation,roberta-base,12,edit_distance,0.09845005790660351,0.0001339631074141603
negation,roberta-base,0,lexical_jaccard,-0.661318637883684,2.668463688002352e-189
negation,roberta-base,1,lexical_jaccard,-0.5722437478399099,3.2764500330165355e-131
negation,roberta-base,2,lexical_jaccard,-0.5219675898844678,1.3517475960279397e-105
negation,roberta-base,3,lexical_jaccard,-0.2683277302449189,3.7610209854219064e-26
negation,roberta-base,4,lexical_jaccard,-0.11259134800383178,1.2372777815324213e-05
negation,roberta-base,5,lexical_jaccard,-0.0675077456759619,0.008913136666528473
negation,roberta-base,6,lexical_jaccard,-0.025800998641077655,0.3179877397275637
negation,roberta-base,7,lexical_jaccard,-0.0367818159041723,0.15449052956340653
negation,roberta-base,8,lexical_jaccard,-0.06224870904082153,0.015899652653174504
negation,roberta-base,9,lexical_jaccard,-0.02647185080016716,0.30556366575574395
negation,roberta-base,10,lexical_jaccard,-0.019201578262874577,0.45740753619034863
negation,roberta-base,11,lexical_jaccard,-0.03945428004812796,0.12666691366556043
