phenomenon,model,layer,metric,n,raw_spearman,raw_p,surface_controlled_spearman,surface_controlled_p
negation,gpt2,12,delta_frob,1500,-0.0013693037664339813,0.9577408947210416,-0.06422852521860456,0.012844366648032153
negation,gpt2,0,delta_l2,1500,0.09517620475769735,0.00022296341341506703,0.05578710203061763,0.030733476023671352
negation,gpt2,1,delta_l2,1500,0.05716346517949365,0.026835918191762637,0.003683858407231664,0.8866402454281136
negation,gpt2,2,delta_l2,1500,0.022757999569777015,0.3784299718870024,-0.022250181300992895,0.3891642335144676
negation,gpt2,3,delta_l2,1500,-0.027816909896728706,0.28163465166943547,-0.029356545687299687,0.2558430925645616
negation,gpt2,4,delta_l2,1500,-0.06244835368522758,0.015564984418548485,-0.05993631830504827,0.020261186901544045
negation,gpt2,5,delta_l2,1500,-0.046154421936070444,0.07393503032515554,-0.052705017332927914,0.04125346746535104
negation,gpt2,6,delta_l2,1500,0.056766580351607684,0.027913475377308487,0.04496604007180246,0.0816912893701447
negation,gpt2,7,delta_l2,1500,0.006219573723686619,0.8097995992885829,0.0027905633173113888,0.9140050816994415
negation,gpt2,8,delta_l2,1500,-0.008287872570709443,0.7484181635688729,-0.008524960447081599,0.7414747336647505
negation,gpt2,9,delta_l2,1500,0.03929102124121836,0.12824642412763593,0.031040962224529352,0.22955785260606476
negation,gpt2,10,delta_l2,1500,0.08951870847770395,0.0005182824404082933,0.07778787851609342,0.0025717511961306345
negation,gpt2,11,delta_l2,1500,0.06187492599986844,0.01654326130340471,0.03738683951723571,0.14781713817522305
negation,gpt2,12,delta_l2,1500,-0.05130335876152669,0.04696425819086783,-0.1017348107499437,7.909285892534833e-05
negation,gpt2,0,delta_token_aligned,1500,-0.06264760540000737,0.015237164724613438,-0.024846147372643894,0.33623379636467665
negation,gpt2,1,delta_token_aligned,1500,-0.08837698030589586,0.0006110109661102744,-0.07010185536071192,0.006605362899768473
negation,gpt2,2,delta_token_aligned,1500,-0.08725008952734012,0.000717464035977396,-0.0668027293152181,0.009653696188834212
negation,gpt2,3,delta_token_aligned,1500,-0.11199588202278471,1.3760394440962564e-05,-0.09552496536169229,0.000211343185615863
negation,gpt2,4,delta_token_aligned,1500,-0.12984705109200123,4.508279523093262e-07,-0.11610419997039498,6.537946644626035e-06
negation,gpt2,5,delta_token_aligned,1500,-0.1247798809935487,1.2494382649332784e-06,-0.10896425620897264,2.344743018458656e-05
negation,gpt2,6,delta_token_aligned,1500,-0.0961305422436647,0.0001925051644617292,-0.06864702936210412,0.007823132367056703
negation,gpt2,7,delta_token_aligned,1500,-0.07053083459913947,0.0062803413493244635,-0.037824777323046996,0.1431256402958164
negation,gpt2,8,delta_token_aligned,1500,-0.0778985158714308,0.0025355204866837067,-0.0497774994570655,0.05392208154852763
negation,gpt2,9,delta_token_aligned,1500,-0.05785884039526297,0.025034334968133804,-0.02298904271760081,0.37360705541781386
negation,gpt2,10,delta_token_aligned,1500,-0.0753622645454068,0.003494830458524315,-0.04774336711229814,0.06451481865913919
negation,gpt2,11,delta_token_aligned,1500,-0.05722314867600665,0.026677019456973355,-0.022328138957118618,0.38750444274561735
negation,gpt2,12,delta_token_aligned,1500,-0.09046615798528512,0.0004514662335215842,-0.069846966937156,0.0068055634793996525
negation,roberta-base,0,delta_cos,1500,0.053109983550761526,0.039717246190151,0.005278429668677602,0.8381474359266303
