model,phenomenon,layer,metric,n,spearman_rho,spearman_p,spearman_ci_lo,spearman_ci_hi,pearson_r,pearson_p,pearson_ci_lo,pearson_ci_hi,spearman_q,pearson_q
bert-base-uncased,negation,6,delta_l2,30,-0.04828123291640595,0.7999915593878815,-0.44955320411537036,0.31131620170776975,-0.09697811507700263,0.6101880031209236,-0.42843150351974124,0.2214384215452974,1.0,1.0
bert-base-uncased,negation,6,delta_token_aligned,30,0.021136945285984175,0.9117236767865574,-0.3914085144731355,0.36309817871620964,-0.049879026502747476,0.7935120011350086,-0.3842262214002022,0.2746031125168716,1.0,1.0
bert-base-uncased,negation,7,delta_cos,30,-0.06697074243243406,0.7251213784257247,-0.4329760919515879,0.31566315119236155,-0.12456322530629793,0.5119320171570989,-0.4838111621006292,0.20755799393479932,1.0,1.0
bert-base-uncased,negation,7,delta_frob,30,-0.10012237240729346,0.5985987455011457,-0.4754277211728202,0.27897078714434514,-0.1304675785621562,0.49196800507541155,-0.49752316287482323,0.20182662997764275,1.0,1.0
bert-base-uncased,negation,7,delta_l2,30,-0.034041606618479776,0.8582656591874331,-0.3978634396892623,0.31130763171183023,-0.08285368299180355,0.6633628015259978,-0.4259270821929868,0.2693376469406138,1.0,1.0
bert-base-uncased,negation,7,delta_token_aligned,30,0.040048948962917386,0.8335737413523707,-0.37624255341035134,0.3976866296465428,-0.04591165694320793,0.8096248269306561,-0.3899951005337433,0.2997192820221677,1.0,1.0
bert-base-uncased,negation,8,delta_cos,30,-0.2035821572281634,0.28057222240589325,-0.5480512321347831,0.1720094140363589,-0.17604921724565772,0.3520683327000172,-0.5139030166917388,0.16437883131053407,1.0,1.0
bert-base-uncased,negation,8,delta_frob,30,-0.21759928936518447,0.24804800887530992,-0.5544553343345004,0.12764879115363723,-0.1830349836058536,0.33297603124702563,-0.5195362627042864,0.15437919458957747,1.0,1.0
bert-base-uncased,negation,8,delta_l2,30,-0.12303927098051842,0.5171489032062042,-0.45938479906319063,0.26392151138397824,-0.11879874950116272,0.5318008931116499,-0.4387393439427807,0.2256476631771298,1.0,1.0
bert-base-uncased,negation,8,delta_token_aligned,30,-0.02981421756128294,0.8757217918678256,-0.4202227437023151,0.32683334514889556,-0.08025474766436433,0.67333426063269,-0.42386219495835004,0.21538413360635403,1.0,1.0
bert-base-uncased,negation,9,delta_cos,30,-0.260318168258963,0.1647338804933601,-0.5454243689809687,0.09107428467737003,-0.21024383915425138,0.2647893471963931,-0.49570178331840403,0.1208411983858737,1.0,1.0
bert-base-uncased,negation,9,delta_frob,30,-0.24607854196103685,0.18991833482970952,-0.5325495328794517,0.10390216442835172,-0.19374859514976533,0.3049507106448753,-0.4840994897739968,0.12718906045485445,1.0,1.0
bert-base-uncased,negation,9,delta_l2,30,-0.16397819658705615,0.3865644650251983,-0.4934559023157328,0.20279128904921698,-0.15134738517753815,0.42466476715877827,-0.4200360442784789,0.18031156896420839,1.0,1.0
bert-base-uncased,negation,9,delta_token_aligned,30,-0.09611747751100172,0.6133765148678256,-0.4069532806695722,0.25154864593691234,-0.0912622094840809,0.631492835858435,-0.3899439802985267,0.20825345971883794,1.0,1.0
bert-base-uncased,negation,10,delta_cos,30,-0.2213816901005711,0.23971796384046742,-0.5111619789686386,0.1664418990494497,-0.18217678346878852,0.33528682318471437,-0.4571958248263226,0.1492000422020235,1.0,1.0
bert-base-uncased,negation,10,delta_frob,30,-0.23317388062854122,0.21495403949745998,-0.527383737083418,0.14969672213211577,-0.1685451917800528,0.37329038017954463,-0.44361068683973864,0.15851788893553595,1.0,1.0
bert-base-uncased,negation,10,delta_l2,30,-0.11213705709616868,0.5552125053635396,-0.4432069231403417,0.27626884354647746,-0.11907394827564498,0.5308440220728813,-0.3794879517190427,0.20839162853949925,1.0,1.0
