model,phenomenon,layer,delta_cos,delta_frob,delta_l2,delta_token_aligned
gpt2,role_reversal,1,0.0012570626735687255,0.001960923339060909,2.4513520882924396,0.0020226963785762338
gpt2,role_reversal,2,0.0006544370651245117,0.0027877860690287636,2.977538506825765,0.00275285044335413
gpt2,role_reversal,3,7.284990946451823e-05,0.0033541509073740316,4.638996171236038,0.007185246581745125
gpt2,role_reversal,4,9.23768679300944e-05,0.0047829891436956045,5.5656428705851235,0.01422612983715712
gpt2,role_reversal,5,0.00011507606506347656,0.00620222220447024,6.502344247659048,0.025528516304186184
gpt2,role_reversal,6,0.00014980649948120116,0.007131257670230812,7.483489275614421,0.027876415138628232
gpt2,role_reversal,7,0.00020233933130900066,0.007383100192485382,8.642224139213562,0.03154209862603712
gpt2,role_reversal,8,0.0002749516169230143,0.00772497149169163,10.021938942273458,0.03437427383504733
gpt2,role_reversal,9,0.00039704068501790365,0.007789707690187472,12.139774373054504,0.035990201179794304
gpt2,role_reversal,10,0.0006116274992624918,0.007265588038579293,15.257386794408163,0.0365276367405821
gpt2,role_reversal,11,0.0007722832361857097,0.004614013070862743,18.813089314142864,0.028324047519634295
gpt2,role_reversal,12,0.00020668260256449382,0.00017062795535035535,6.497618245363236,0.0012320998594501718
roberta-base,negation,0,0.05737070814768473,0.07761646169267657,1.8271746056874594,0.0031285945177078247
roberta-base,negation,1,0.028149572928746543,0.032282947107039474,3.554908073425293,0.025895013524426354
roberta-base,negation,2,0.01583801261583964,0.017103022784856172,3.7495412861506145,0.020552697824107277
roberta-base,negation,3,0.01778842814763387,0.01873263570806365,3.8461228516896564,0.023318484061294133
roberta-base,negation,4,0.019131418069203696,0.019991335014108345,3.9267812436421714,0.02685867785745197
roberta-base,negation,5,0.01932693942387899,0.020235396335623237,4.358269614537557,0.02787538307905197
roberta-base,negation,6,0.018877190589904787,0.01969697780954238,4.435459825197856,0.028279527935716843
roberta-base,negation,7,0.01875278615951538,0.019558963801405323,4.578448527018229,0.0292771389219496
roberta-base,negation,8,0.019684764703114827,0.020490780257172225,4.729163615862529,0.03264344510104921
roberta-base,negation,9,0.02088224188486735,0.021837346331001893,4.895606537818908,0.03601538289255566
roberta-base,negation,10,0.017874394655227662,0.0185692979924728,4.626675881385803,0.03188092266851002
roberta-base,negation,11,0.015662245194117227,0.016236093575749698,4.168864109039307,0.029099075893561047
roberta-base,negation,12,0.014659067789713542,0.014932543969558435,2.2201176371574403,0.02347758545478185
roberta-base,role_reversal,0,0.009093173344930013,0.023701182790863574,0.6020163358575664,0.010551360556547776
roberta-base,role_reversal,1,0.006137935638427734,0.008647046213662109,1.4915214287837346,0.017287331782295016
roberta-base,role_reversal,2,0.003077222267786662,0.003947716680911577,1.537587589065234,0.01871580462088202
