pair_id,phenomenon,model,dataset_path,layer,pooling,delta_cos,sim_frob,delta_frob,delta_l2,delta_token_aligned,token_count_s,token_count_cf,length_delta,lexical_jaccard,edit_distance,split,template_id
attach_000004,attachment,bert-base-uncased,data/css_pairs/attach_pilot_100.jsonl,11,mean_non_special,0.055824220180511475,0.9436456889074506,0.0563543110925494,4.987734794616699,0.16045780181884767,8,9,1,0.3,37,train,attach_pp_v01
attach_000004,attachment,bert-base-uncased,data/css_pairs/attach_pilot_100.jsonl,12,mean_non_special,0.08096569776535034,0.90987726598358,0.09012273401642001,4.096782684326172,0.16690399646759033,8,9,1,0.3,37,train,attach_pp_v01
attach_000005,attachment,bert-base-uncased,data/css_pairs/attach_pilot_100.jsonl,0,mean_non_special,0.016618669033050537,0.9452616408426556,0.054738359157344374,1.4033771753311157,0.07997377713521321,8,8,0,0.5,31,train,attach_pp_v01
attach_000005,attachment,bert-base-uncased,data/css_pairs/attach_pilot_100.jsonl,1,mean_non_special,0.016124367713928223,0.9631656195877097,0.03683438041229026,1.8496180772781372,0.09159327546755473,8,8,0,0.5,31,train,attach_pp_v01
attach_000005,attachment,bert-base-uncased,data/css_pairs/attach_pilot_100.jsonl,2,mean_non_special,0.014708876609802246,0.972842439453195,0.02715756054680496,2.0075886249542236,0.09073564410209656,8,8,0,0.5,31,train,attach_pp_v01
attach_000005,attachment,bert-base-uncased,data/css_pairs/attach_pilot_100.jsonl,3,mean_non_special,0.016180694103240967,0.9697355534014112,0.030264446598588846,2.042482376098633,0.09146348635355632,8,8,0,0.5,31,train,attach_pp_v01
attach_000005,attachment,bert-base-uncased,data/css_pairs/attach_pilot_100.jsonl,4,mean_non_special,0.01822298765182495,0.9652683380191696,0.03473166198083044,2.5138344764709473,0.14392774303754172,8,8,0,0.5,31,train,attach_pp_v01
attach_000005,attachment,bert-base-uncased,data/css_pairs/attach_pilot_100.jsonl,5,mean_non_special,0.023084640502929688,0.9642771469715351,0.035722853028464896,3.0637476444244385,0.13856355349222818,8,8,0,0.5,31,train,attach_pp_v01
attach_000005,attachment,bert-base-uncased,data/css_pairs/attach_pilot_100.jsonl,6,mean_non_special,0.02967822551727295,0.9553577039819761,0.04464229601802394,3.586766242980957,0.1820146143436432,8,8,0,0.5,31,train,attach_pp_v01
attach_000005,attachment,bert-base-uncased,data/css_pairs/attach_pilot_100.jsonl,7,mean_non_special,0.03318530321121216,0.9529650140559504,0.047034985944049645,3.7473888397216797,0.1782631278038025,8,8,0,0.5,31,train,attach_pp_v01
attach_000005,attachment,bert-base-uncased,data/css_pairs/attach_pilot_100.jsonl,8,mean_non_special,0.03722214698791504,0.9514985842056358,0.04850141579436418,3.858973741531372,0.20850946505864462,8,8,0,0.5,31,train,attach_pp_v01
attach_000005,attachment,bert-base-uncased,data/css_pairs/attach_pilot_100.jsonl,9,mean_non_special,0.03974103927612305,0.9508333288475506,0.04916667115244944,3.727597951889038,0.1899181306362152,8,8,0,0.5,31,train,attach_pp_v01
attach_000005,attachment,bert-base-uncased,data/css_pairs/attach_pilot_100.jsonl,10,mean_non_special,0.03534650802612305,0.9593581471836659,0.040641852816334145,3.9422144889831543,0.16759472091992697,8,8,0,0.5,31,train,attach_pp_v01
attach_000005,attachment,bert-base-uncased,data/css_pairs/attach_pilot_100.jsonl,11,mean_non_special,0.035567641258239746,0.9622938591343584,0.03770614086564161,4.080481052398682,0.14238868157068887,8,8,0,0.5,31,train,attach_pp_v01
attach_000005,attachment,bert-base-uncased,data/css_pairs/attach_pilot_100.jsonl,12,mean_non_special,0.0442160964012146,0.9457927707361512,0.0542072292638488,3.083690643310547,0.1541121502717336,8,8,0,0.5,31,train,attach_pp_v01
attach_000006,attachment,bert-base-uncased,data/css_pairs/attach_pilot_100.jsonl,0,mean_non_special,0.06334924697875977,0.9449203541032846,0.055079645896715435,2.684185266494751,0.012189575604030065,8,9,1,0.625,5,train,attach_pp_v01
attach_000006,attachment,bert-base-uncased,data/css_pairs/attach_pilot_100.jsonl,1,mean_non_special,0.05267566442489624,0.946173923278109,0.05382607672189099,3.246162176132202,0.018410725252968923,8,9,1,0.625,5,train,attach_pp_v01
attach_000006,attachment,bert-base-uncased,data/css_pairs/attach_pilot_100.jsonl,2,mean_non_special,0.040068864822387695,0.9552410387224601,0.044758961277539866,3.3053574562072754,0.022462308406829834,8,9,1,0.625,5,train,attach_pp_v01
attach_000006,attachment,bert-base-uncased,data/css_pairs/attach_pilot_100.jsonl,3,mean_non_special,0.040097713470458984,0.9558679713952722,0.04413202860472776,3.2276415824890137,0.022157277379717146,8,9,1,0.625,5,train,attach_pp_v01
attach_000006,attachment,bert-base-uncased,data/css_pairs/attach_pilot_100.jsonl,4,mean_non_special,0.032672345638275146,0.9599395185501071,0.04006048144989294,3.3992655277252197,0.02832393135343279,8,9,1,0.625,5,train,attach_pp_v01
attach_000006,attachment,bert-base-uncased,data/css_pairs/attach_pilot_100.jsonl,5,mean_non_special,0.028927266597747803,0.9643501015544625,0.03564989844553745,3.4678518772125244,0.031017184257507324,8,9,1,0.625,5,train,attach_pp_v01
attach_000006,attachment,bert-base-uncased,data/css_pairs/attach_pilot_100.jsonl,6,mean_non_special,0.033936500549316406,0.9583948871404078,0.04160511285959223,3.8865456581115723,0.0401509233883449,8,9,1,0.625,5,train,attach_pp_v01
