phenomenon,probe_name,model,dataset_path,layer,seed,split_type,feature_type,accuracy,macro_f1,auroc,ece,control_accuracy,control_macro_f1,selectivity,n_train,n_dev,n_test,config_sha256,solver,max_iter,C
attachment,attachment_probe,bert-base-uncased,data/css_pairs/attach_1500.jsonl,7,13,random,sentence_mean,1.0,1.0,1.0,,0.45,0.44801284624648735,0.5519871537535126,1600,0,400,pending,liblinear,300,1.0
attachment,attachment_probe,bert-base-uncased,data/css_pairs/attach_1500.jsonl,7,17,random,sentence_mean,1.0,1.0,1.0,,0.455,0.4546591619762351,0.5453408380237649,1600,0,400,pending,liblinear,300,1.0
attachment,attachment_probe,bert-base-uncased,data/css_pairs/attach_1500.jsonl,7,19,random,sentence_mean,1.0,1.0,1.0,,0.495,0.4948863494286215,0.5051136505713785,1600,0,400,pending,liblinear,300,1.0
attachment,attachment_probe,bert-base-uncased,data/css_pairs/attach_1500.jsonl,7,23,random,sentence_mean,1.0,1.0,0.9999999999999999,,0.5875,0.5863599044867416,0.4136400955132584,1600,0,400,pending,liblinear,300,1.0
attachment,attachment_probe,bert-base-uncased,data/css_pairs/attach_1500.jsonl,8,11,random,sentence_mean,1.0,1.0,1.0,,0.48,0.4796747967479675,0.5203252032520325,1600,0,400,pending,liblinear,300,1.0
attachment,attachment_probe,bert-base-uncased,data/css_pairs/attach_1500.jsonl,8,13,random,sentence_mean,1.0,1.0,0.9999999999999999,,0.4425,0.44221762267147746,0.5577823773285225,1600,0,400,pending,liblinear,300,1.0
attachment,attachment_probe,bert-base-uncased,data/css_pairs/attach_1500.jsonl,8,17,random,sentence_mean,1.0,1.0,1.0,,0.47,0.47,0.53,1600,0,400,pending,liblinear,300,1.0
attachment,attachment_probe,bert-base-uncased,data/css_pairs/attach_1500.jsonl,8,19,random,sentence_mean,1.0,1.0,1.0,,0.4975,0.49749685935537097,0.502503140644629,1600,0,400,pending,liblinear,300,1.0
attachment,attachment_probe,bert-base-uncased,data/css_pairs/attach_1500.jsonl,8,23,random,sentence_mean,1.0,1.0,0.9999999999999999,,0.5725,0.5717264308657513,0.42827356913424874,1600,0,400,pending,liblinear,300,1.0
attachment,attachment_probe,bert-base-uncased,data/css_pairs/attach_1500.jsonl,9,11,random,sentence_mean,1.0,1.0,1.0,,0.5,0.49998749968749223,0.5000125003125078,1600,0,400,pending,liblinear,300,1.0
attachment,attachment_probe,bert-base-uncased,data/css_pairs/attach_1500.jsonl,9,13,random,sentence_mean,1.0,1.0,0.9999999999999999,,0.435,0.434491041937744,0.565508958062256,1600,0,400,pending,liblinear,300,1.0
attachment,attachment_probe,bert-base-uncased,data/css_pairs/attach_1500.jsonl,9,17,random,sentence_mean,1.0,1.0,1.0,,0.4825,0.48132975024899927,0.5186702497510007,1600,0,400,pending,liblinear,300,1.0
attachment,attachment_probe,bert-base-uncased,data/css_pairs/attach_1500.jsonl,9,19,random,sentence_mean,1.0,1.0,1.0,,0.5025,0.5024968906055662,0.49750310939443376,1600,0,400,pending,liblinear,300,1.0
attachment,attachment_probe,bert-base-uncased,data/css_pairs/attach_1500.jsonl,9,23,random,sentence_mean,1.0,1.0,1.0,,0.5775,0.5769050226881551,0.42309497731184487,1600,0,400,pending,liblinear,300,1.0
attachment,attachment_probe,bert-base-uncased,data/css_pairs/attach_1500.jsonl,10,11,random,sentence_mean,1.0,1.0,1.0,,0.4975,0.4973460622315584,0.5026539377684416,1600,0,400,pending,liblinear,300,1.0
attachment,attachment_probe,bert-base-uncased,data/css_pairs/attach_1500.jsonl,10,13,random,sentence_mean,1.0,1.0,1.0,,0.4275,0.4264640506915616,0.5735359493084384,1600,0,400,pending,liblinear,300,1.0
attachment,attachment_probe,bert-base-uncased,data/css_pairs/attach_1500.jsonl,10,17,random,sentence_mean,1.0,1.0,1.0,,0.4675,0.46675011735252697,0.533249882647473,1600,0,400,pending,liblinear,300,1.0
attachment,attachment_probe,bert-base-uncased,data/css_pairs/attach_1500.jsonl,10,19,random,sentence_mean,1.0,1.0,1.0,,0.53,0.5295766189570613,0.4704233810429387,1600,0,400,pending,liblinear,300,1.0
attachment,attachment_probe,bert-base-uncased,data/css_pairs/attach_1500.jsonl,10,23,random,sentence_mean,1.0,1.0,1.0,,0.57,0.5697310819262038,0.4302689180737962,1600,0,400,pending,liblinear,300,1.0
attachment,attachment_probe,bert-base-uncased,data/css_pairs/attach_1500.jsonl,11,11,random,sentence_mean,1.0,1.0,1.0,,0.515,0.5148908504413493,0.4851091495586507,1600,0,400,pending,liblinear,300,1.0
attachment,attachment_probe,bert-base-uncased,data/css_pairs/attach_1500.jsonl,11,13,random,sentence_mean,1.0,1.0,1.0,,0.4375,0.4369052311504026,0.5630947688495974,1600,0,400,pending,liblinear,300,1.0
attachment,attachment_probe,bert-base-uncased,data/css_pairs/attach_1500.jsonl,11,17,random,sentence_mean,1.0,1.0,1.0,,0.485,0.4848840989222575,0.5151159010777425,1600,0,400,pending,liblinear,300,1.0
attachment,attachment_probe,bert-base-uncased,data/css_pairs/attach_1500.jsonl,11,19,random,sentence_mean,1.0,1.0,1.0,,0.5025,0.5024222534771058,0.4975777465228942,1600,0,400,pending,liblinear,300,1.0
attachment,attachment_probe,bert-base-uncased,data/css_pairs/attach_1500.jsonl,11,23,random,sentence_mean,1.0,1.0,1.0,,0.575,0.5739348370927319,0.42606516290726815,1600,0,400,pending,liblinear,300,1.0
attachment,attachment_probe,bert-base-uncased,data/css_pairs/attach_1500.jsonl,12,11,random,sentence_mean,1.0,1.0,1.0,,0.49,0.48994899489948995,0.51005100510051,1600,0,400,pending,liblinear,300,1.0
attachment,attachment_probe,bert-base-uncased,data/css_pairs/attach_1500.jsonl,12,13,random,sentence_mean,1.0,1.0,1.0,,0.4475,0.4462506029228447,0.5537493970771553,1600,0,400,pending,liblinear,300,1.0
attachment,attachment_probe,bert-base-uncased,data/css_pairs/attach_1500.jsonl,12,17,random,sentence_mean,1.0,1.0,1.0,,0.4725,0.47233840363611357,0.5276615963638864,1600,0,400,pending,liblinear,300,1.0
attachment,attachment_probe,bert-base-uncased,data/css_pairs/attach_1500.jsonl,12,19,random,sentence_mean,1.0,1.0,1.0,,0.5225,0.5223537208270033,0.47764627917299673,1600,0,400,pending,liblinear,300,1.0
attachment,attachment_probe,bert-base-uncased,data/css_pairs/attach_1500.jsonl,12,23,random,sentence_mean,1.0,1.0,0.9999999999999999,,0.59,0.5893429487179487,0.4106570512820513,1600,0,400,pending,liblinear,300,1.0
negation,negation_probe,bert-base-uncased,data/css_pairs/neg_1500.jsonl,0,11,random,sentence_mean,1.0,1.0,1.0,,0.435,0.4346466541588493,0.5653533458411507,2400,0,600,pending,liblinear,300,1.0
negation,negation_probe,bert-base-uncased,data/css_pairs/neg_1500.jsonl,0,13,random,sentence_mean,1.0,1.0,1.0,,0.45666666666666667,0.4565700568990043,0.5434299431009957,2400,0,600,pending,liblinear,300,1.0
negation,negation_probe,bert-base-uncased,data/css_pairs/neg_1500.jsonl,0,17,random,sentence_mean,1.0,1.0,1.0,,0.58,0.579925320056899,0.420074679943101,2400,0,600,pending,liblinear,300,1.0
negation,negation_probe,bert-base-uncased,data/css_pairs/neg_1500.jsonl,0,19,random,sentence_mean,1.0,1.0,1.0,,0.43333333333333335,0.4333270369670774,0.5666729630329226,2400,0,600,pending,liblinear,300,1.0
negation,negation_probe,bert-base-uncased,data/css_pairs/neg_1500.jsonl,0,23,random,sentence_mean,1.0,1.0,0.9999999999999999,,0.5266666666666666,0.5253164556962026,0.47468354430379744,2400,0,600,pending,liblinear,300,1.0
negation,negation_probe,bert-base-uncased,data/css_pairs/neg_1500.jsonl,1,11,random,sentence_mean,1.0,1.0,1.0,,0.4583333333333333,0.45778961681019026,0.5422103831898097,2400,0,600,pending,liblinear,300,1.0
negation,negation_probe,bert-base-uncased,data/css_pairs/neg_1500.jsonl,1,13,random,sentence_mean,1.0,1.0,1.0,,0.505,0.5041391304347826,0.49586086956521735,2400,0,600,pending,liblinear,300,1.0
negation,negation_probe,bert-base-uncased,data/css_pairs/neg_1500.jsonl,1,17,random,sentence_mean,1.0,1.0,1.0,,0.48833333333333334,0.4880930214461789,0.5119069785538211,2400,0,600,pending,liblinear,300,1.0
negation,negation_probe,bert-base-uncased,data/css_pairs/neg_1500.jsonl,1,19,random,sentence_mean,1.0,1.0,1.0,,0.5183333333333333,0.5162896571347275,0.4837103428652725,2400,0,600,pending,liblinear,300,1.0
negation,negation_probe,bert-base-uncased,data/css_pairs/neg_1500.jsonl,1,23,random,sentence_mean,1.0,1.0,1.0,,0.53,0.5299164295874823,0.4700835704125177,2400,0,600,pending,liblinear,300,1.0
negation,negation_probe,bert-base-uncased,data/css_pairs/neg_1500.jsonl,2,11,random,sentence_mean,1.0,1.0,1.0,,0.4716666666666667,0.47148902825671957,0.5285109717432804,2400,0,600,pending,liblinear,300,1.0
negation,negation_probe,bert-base-uncased,data/css_pairs/neg_1500.jsonl,2,13,random,sentence_mean,1.0,1.0,1.0,,0.5216666666666666,0.5210799896539928,0.4789200103460072,2400,0,600,pending,liblinear,300,1.0
